Gene name,Gene end (bp),Gene start (bp),Chromosome/scaffold name
IFNL1,39298673,39296325,19
LRFN1,39315336,39306568,19
AC011445.1,39320858,39314651,19
GMFG,39342372,39328353,19
AC011445.2,39341945,39341773,19
SAMD4B,39385710,39342396,19
RN7SL566P,39369448,39369153,19
PAF1,39391195,39385852,19
MED29,39400637,39391303,19
ZFP36,39409412,39406813,19
MIR4530,39409678,39409623,19
PLEKHG2,39428415,39412585,19
RPS16,39435948,39433207,19
SUPT5H,39476670,39436156,19
TIMM50,39493785,39480412,19
DLL3,39508481,39498895,19
SELENOV,39520686,39515113,19
EID2B,39532854,39530990,19
AC011500.3,39534422,39532412,19
TDGF1P7,39535021,39534463,19
EID2,39540333,39538705,19
AC011500.2,39555356,39553034,19
AC011500.1,39586489,39584042,19
RPS29P24,39589125,39588955,19
RPS29P25,39591151,39590981,19
RPS29P26,39598002,39597832,19
LGALS13,39607476,39602501,19
AC005176.2,39631446,39631300,19
AC005176.1,39642401,39638685,19
RPS29P30,39644612,39644502,19
LGALS16,39660647,39655894,19
LGALS17A,39686373,39679374,19
AC005515.1,39694577,39685244,19
AC093063.1,39696258,39693925,19
RPS29P27,39698073,39697904,19
LGALS14,39709444,39704306,19
AC006133.1,39726775,39726030,19
CLC,39738028,39731250,19
LEUTX,39786167,39776595,19
AC005393.1,39813555,39812972,19
DYRK1B,39834201,39825350,19
MIR6719,39829802,39829716,19
FBL,39846414,39834458,19
FCGBP,39934626,39863323,19
PRR13P5,39943680,39943239,19
PSMC4,39981441,39971005,19
ZNF546,40021041,39984134,19
AC007842.1,40025502,40023384,19
ZNF780B,40056209,40028260,19
AC005614.2,40090925,40048757,19
ZNF780A,40090938,40069152,19
AC005614.1,40094406,40090754,19
VN1R96P,40122168,40121311,19
MAP3K10,40215575,40191744,19
TTC9B,40218399,40216058,19
CNTD2,40226697,40222208,19
AKT2,40285536,40230317,19
AC118344.1,40275479,40273489,19
MIR641,40282641,40282543,19
RNU6-945P,40299584,40299478,19
C19orf47,40348527,40319536,19
RF00019,40339164,40339059,19
RF00019,40342441,40342329,19
PLD3,40380439,40348456,19
AC118344.2,40360606,40355842,19
MIR6796,40369907,40369846,19
HIPK4,40390187,40379271,19
PRX,40413366,40393768,19
SERTAD1,40426025,40421592,19
AC010271.2,40426702,40426115,19
SERTAD3,40444705,40440844,19
AC010271.1,40444087,40443436,19
BLVRB,40465840,40447765,19
RF00017,40450480,40450225,19
SPTBN4,40576464,40466241,19
SHKBP1,40591399,40576851,19
LTBP4,40629818,40592883,19
NUMBL,40690972,40665905,19
COQ8B,40718207,40691529,19
RNU6-195P,40708163,40708055,19
ITPKC,40740860,40717103,19
C19orf54,40751553,40740856,19
SNRPA,40765389,40750637,19
MIA,40777490,40771648,19
MIA-RAB4B,40796943,40771648,19
RAB4B,40796938,40778216,19
RAB4B-EGLN2,40808418,40778242,19
AC008537.4,40796943,40779780,19
EGLN2,40808433,40798996,19
AC008537.1,40898282,40801297,19
CYP2T1P,40812100,40808474,19
CYP2F2P,40826772,40818414,19
AC008537.2,40837210,40831221,19
AC008537.3,40842039,40840159,19
CYP2A6,40850447,40843538,19
CYP2A7,40882752,40875439,19
CYP2G1P,40900508,40890826,19
CYP2A7P2,40910685,40908480,19
CYP2B7P,40950660,40924219,19
AC092071.1,40947450,40946347,19
CYP2B6,41018398,40991250,19
CYP2A7P1,41027720,41024268,19
CYP2G2P,41062444,41050449,19
AC008962.1,41074107,41073804,19
CYP2A13,41096195,41088472,19
CYP2F1,41128366,41114432,19
CYP2T3P,41137308,41134722,19
RPL36P16,41170166,41169861,19
RN7SL718P,41191229,41190927,19
CYP2S1,41207539,41193049,19
AXL,41261766,41219203,19
AC011510.1,41222051,41221426,19
HNRNPUL1,41307598,41262496,19
RN7SL34P,41286693,41286424,19
TGFB1,41353911,41301587,19
CCDC97,41324883,41310189,19
AC011462.1,41425001,41350853,19
TMEM91,41384083,41350911,19
B9D2,41364173,41354421,19
AC011462.4,41374419,41373971,19
EXOSC5,41397479,41386374,19
BCKDHA,41425005,41397460,19
AC011462.3,41400365,41399372,19
AC011462.2,41426237,41425359,19
B3GNT8,41428730,41425359,19
DMAC2,41440717,41431318,19
RF00017,41442392,41442102,19
ERICH4,41444765,41443158,19
PCAT19,41500649,41454169,19
AC243960.2,41506898,41506152,19
PLEKHA3P1,41521989,41521043,19
AC243960.3,41532174,41531206,19
LINC01480,41536904,41535183,19
AC243960.1,41555462,41545192,19
CEACAM21,41586844,41549518,19
AC243960.7,41552274,41551568,19
CEACAMP3,41605984,41599735,19
DNAJC19P2,41605671,41605341,19
CEACAM4,41627074,41618971,19
DNAJC19P3,41638899,41638569,19
AC243960.5,41640602,41639659,19
AC243960.4,41652963,41652676,19
CEACAM7,41706976,41673307,19
CEACAM5,41729798,41708585,19
AC243967.1,41761282,41708612,19
CEACAM6,41772208,41750977,19
AC243967.2,41786893,41757898,19
CEACAM3,41811553,41796437,19
HNRNPA1P52,41830938,41829692,19
AC243967.3,41835950,41833686,19
LYPD4,41844697,41837074,19
DMRTC2,41852333,41844743,19
RPS19,41872926,41859918,19
MIR6797,41869698,41869627,19
CD79A,41881372,41877120,19
ARHGEF1,41930150,41883161,19
AC010616.1,41928516,41907705,19
RABAC1,41959390,41956681,19
AC010616.2,41994232,41956879,19
ATP1A3,41997497,41966582,19
GRIK5,42069498,41998321,19
ZNF574,42081549,42068477,19
POU2F2,42196585,42086110,19
AC010247.1,42137099,42132555,19
MIR4323,42133513,42133445,19
AC010247.2,42157523,42152569,19
DEDD2,42220140,42198598,19
ZNF526,42228201,42220271,19
GSK3A,42242625,42230186,19
AC006486.1,42255132,42234583,19
AC006486.2,42244973,42242775,19
ERF,42255157,42247572,19
CIC,42295797,42268537,19
PAFAH1B3,42303546,42297033,19
PRR19,42310821,42302098,19
TMEM145,42325062,42313325,19
MEGF8,42378769,42325609,19
MIR8077,42351205,42351131,19
CNFN,42390287,42387019,19
LIPE-AS1,42652355,42397128,19
LIPE,42427426,42401507,19
AC011497.1,42425071,42424384,19
CXCL17,42443048,42428288,19
RNU4-60P,42473009,42472875,19
AC011497.2,42485714,42485076,19
CEACAM1,42561234,42507304,19
CEACAMP2,42561750,42560433,19
CEACAM8,42595055,42580241,19
CEACAMP1,42633034,42620212,19
CEACAMP5,42669076,42654200,19
RPS10P28,42670816,42670005,19
PSG3,42740569,42721638,19
PSG8,42855691,42752686,19
CEACAMP6,42786595,42781206,19
PSG8-AS1,42826878,42821863,19
PSG10P,42855718,42839368,19
PSG1,42879822,42866464,19
PSG6,42919563,42902079,19
PSG7,42937178,42924132,19
CEACAMP7,42950387,42949503,19
AC004784.1,43171515,42977463,19
PSG11,43026512,43007656,19
CEACAMP8,43041248,43035869,19
PSG2,43083045,43064211,19
CEACAMP9,43097360,43096456,19
AC005392.1,43160862,43153279,19
PSG5,43186536,43166256,19
PSG4,43207299,43192702,19
CEACAMP10,43248646,43211791,19
PSG9,43269530,43211791,19
CEACAMP11,43284318,43278933,19
CEACAMP4,43304523,43303171,19
AC005392.2,43331430,43329295,19
CD177,43363172,43353659,19
AC005392.3,43368970,43360685,19
CD177P1,43379123,43372742,19
TEX101,43418597,43401496,19
LYPD3,43465660,43460787,19
PHLDB3,43504935,43474954,19
ETHE1,43527244,43506719,19
ZNF575,43536130,43525497,19
XRCC1,43580473,43543040,19
L34079.2,43555494,43553445,19
L34079.1,43593036,43554692,19
L34079.3,43575618,43574638,19
PINLYP,43583964,43576800,19
IRGQ,43596135,43584369,19
ZNF576,43601157,43596392,19
SRRM5,43614497,43596617,19
ZNF428,43619874,43607219,19
CADM4,43639839,43622368,19
PLAUR,43670547,43646095,19
RN7SL368P,43660776,43660500,19
AC005622.1,43700508,43690002,19
IRGC,43720021,43716010,19
SMG9,43754990,43727992,19
KCNN4,43781261,43766533,19
AC115522.1,43795658,43794309,19
LYPD5,43827206,43795929,19
ZNF283,43852017,43827292,19
ZNF404,43901385,43872363,19
AC006213.6,43895411,43891233,19
AC006213.2,43901805,43891804,19
AC006213.3,43926545,43902001,19
ZNF45,43935278,43912629,19
ZNF221,43967709,43951223,19
ZNF155,43998325,43967862,19
AC006213.4,43977448,43976815,19
AC006213.5,43978663,43978376,19
AC006213.1,44002836,43996896,19
ZNF230,44013926,44002948,19
AC067968.2,44025262,44023604,19
ZNF222,44033112,44025342,19
AC067968.1,44087318,44025354,19
ZNF223,44067991,44051367,19
ZNF284,44089613,44072144,19
RNU6-902P,44085303,44085213,19
ZNF224,44109886,44094339,19
AC021092.1,44113145,44105463,19
ZNF225,44134816,44112181,19
ZNF234,44160309,44141557,19
ZNF226,44178381,44165073,19
ZNF227,44237268,44207547,19
ZNF235,44305046,44228729,19
AC138470.1,44248374,44246478,19
ZNF233,44275317,44259880,19
AC138473.1,44290911,44290081,19
NDUFA3P1,44297355,44297104,19
ZNF112,44367217,44326555,19
AC245748.1,44401608,44329695,19
ZNF285,44401608,44382298,19
AC245748.2,44448452,44392439,19
ZNF229,44448578,44417519,19
ZNF285B,44473227,44467641,19
ZNF180,44500524,44474428,19
CEACAM20,44529788,44501677,19
AC245748.3,44536613,44536263,19
CEACAM22P,44620821,44537058,19
AC243964.1,44570564,44570304,19
IGSF23,44636781,44613630,19
AC243964.2,44718759,44632199,19
PVR,44663583,44643798,19
MIR4531,44653732,44653686,19
CEACAM19,44684359,44662278,19
AC243964.3,44666158,44664131,19
CEACAM16,44710714,44699151,19
RF00285,44726058,44725984,19
BCL3,44760044,44747705,19
MIR8085,44758721,44758657,19
RF00156,44765100,44764950,19
AC092066.1,44765464,44765148,19
CBLC,44800652,44777869,19
AC092306.1,44804010,44803701,19
BCAM,44821421,44809059,19
NECTIN2,44889228,44846175,19
AC011481.2,44890876,44882027,19
TOMM40,44903689,44890569,19
APOE,44909393,44905754,19
AC011481.3,44914968,44909375,19
APOC1,44919349,44914247,19
APOC1P1,44931386,44926804,19
APOC4,44945496,44942238,19
APOC4-APOC2,44949565,44942238,19
APOC2,44949565,44945982,19
AC011481.1,44954007,44950044,19
CLPTM1,44993341,44954585,19
RELB,45038198,45001430,19
CLASRP,45070956,45039040,19
RNU6-611P,45047561,45047458,19
ZNF296,45076588,45071500,19
GEMIN7-AS1,45090391,45076510,19
GEMIN7,45091524,45079195,19
MARK4,45305283,45079288,19
PPP1R37,45148077,45091396,19
EIF5AP3,45129030,45128569,19
AC005757.1,45136977,45135993,19
NKPD1,45158737,45149750,19
TRAPPC6A,45178237,45162928,19
BLOC1S3,45181801,45178745,19
AC005779.2,45202444,45179822,19
AC005779.1,45216933,45187388,19
EXOC3L2,45245431,45212621,19
CKM,45322977,45306414,19
RPS16P9,45333124,45332698,19
KLC3,45351520,45333434,19
ERCC2,45370918,45349837,19
PPP1R13L,45406349,45379634,19
CD3EAP,45410766,45406209,19
ERCC1,45478828,45407333,19
MIR6088,45436704,45436654,19
FOSB,45475179,45467995,19
RTN2,45497061,45485289,19
PPM1N,45502510,45488777,19
VASP,45526983,45506579,19
OPA3,45602212,45527427,19
GPR4,45602208,45589764,19
EML2,45645629,45606994,19
MIR330,45639087,45638994,19
EML2-AS1,45642840,45641494,19
RN7SL836P,45651805,45651510,19
GIPR,45683724,45668244,19
MIR642A,45675024,45674928,19
MIR642B,45675008,45674932,19
SNRPD2,45692569,45687454,19
QPCTL,45703989,45692483,19
FBXO46,45730904,45710629,19
AC007191.1,45717381,45714387,19
BHMG1,45764534,45733251,19
SIX5,45769226,45764785,19
AC074212.1,45769806,45764785,19
DM1-AS,45772504,45767796,19
DMPK,45782552,45769717,19
AC011530.1,45785973,45779437,19
DMWD,45792802,45782947,19
RSPH6A,45815319,45795710,19
SYMPK,45863290,45815410,19
AC092301.1,45831108,45830164,19
FOXA3,45873797,45863989,19
IRF2BP1,45886170,45883607,19
MYPOP,45902604,45890020,19
NANOS2,45914870,45913214,19
NOVA2,45973546,45933734,19
CCDC61,46021318,45995461,19
MIR769,46019049,46018932,19
PGLYRP1,46023065,46019153,19
AC007785.3,46030161,46027654,19
IGFL4,46077118,46039748,19
AC007785.1,46196218,46101122,19
AC007785.2,46113863,46111079,19
IGFL3,46124674,46120071,19
TGIF1P1,46137547,46136746,19
IGFL2,46161299,46143106,19
AC006262.2,46180647,46163893,19
IGFL2-AS1,46203083,46189166,19
IGFL1P1,46197323,46196238,19
AC006262.1,46214837,46203426,19
RPL12P41,46219920,46219423,19
AC006262.3,46230388,46228964,19
IGFL1,46231243,46229752,19
AC006262.4,46250163,46249394,19
IGFL1P2,46260858,46260420,19
HIF3A,46343433,46297046,19
RNU6-924P,46306577,46306470,19
AC007193.2,46340004,46320197,19
PPP5C,46392981,46346994,19
AC007193.1,46383169,46382492,19
AC007193.3,46390852,46390515,19
CCDC8,46413662,46410329,19
PNMA8C,46428951,46424697,19
PNMA8A,46471563,46466491,19
PPP5D1,46601200,46480796,19
PNMA8B,46496498,46486906,19
AC011484.1,46496502,46494508,19
AC011551.1,46534351,46533669,19
AC093503.1,46600861,46547056,19
GAPDHP38,46559642,46558641,19
CALM3,46610793,46601074,19
AC093503.2,46610779,46609277,19
PTGIR,46625118,46620468,19
GNG8,46634685,46634076,19
AC093503.3,46639161,46636810,19
DACT3,46661138,46647612,19
DACT3-AS1,46677447,46660364,19
PRKD2,46717127,46674275,19
RN7SL364P,46689068,46688797,19
MIR320E,46709345,46709293,19
STRN4,46746994,46719507,19
AC008635.1,46732700,46728603,19
RF00019,46736419,46736312,19
FKRP,46776988,46746046,19
SLC1A5,46788594,46774883,19
AC008622.2,46789043,46787815,19
AC008622.3,46810182,46809583,19
HNRNPMP2,46810183,46809585,19
AC008622.1,46828440,46826895,19
AP2S1,46850992,46838136,19
ARHGAP35,47005077,46918676,19
AC008895.1,46949156,46946535,19
NPAS1,47045775,47019820,19
TMEM160,47048630,47045907,19
ZC3H4,47113752,47064187,19
SAE1,47210636,47113274,19
BBC3,47232766,47220822,19
MIR3190,47227021,47226942,19
MIR3191,47227019,47226944,19
CCDC9,47273701,47255980,19
INAFM1,47275707,47274453,19
C5AR1,47322066,47290023,19
C5AR2,47347327,47332147,19
DHX34,47382704,47349281,19
MEIS3,47419523,47403124,19
SLC8A2,47472168,47428017,19
KPTN,47484268,47475144,19
NAPA-AS1,47501597,47484282,19
NAPA,47515240,47487637,19
AC073548.1,47489519,47487638,19
ZNF541,47555856,47520685,19
RN7SL322P,47581321,47581023,19
AC010519.1,47733098,47607524,19
AC010331.1,47608454,47607873,19
BICRA,47703277,47608196,19
BICRA-AS1,47626395,47615699,19
AC008985.1,47663895,47661657,19
EHD2,47743134,47713343,19
NOP53,47757058,47745522,19
SNORD23,47755962,47755853,19
NOP53-AS1,47768840,47757036,19
SELENOW,47784686,47778572,19
RPL23AP80,47794890,47794467,19
AC008745.1,47794920,47794650,19
TPRX1,47819051,47801243,19
CRX,47843330,47819779,19
TPRX2P,47861512,47860113,19
LINC01595,47865341,47863483,19
SULT2A1,47886397,47870466,19
BSPH1,47992170,47968046,19
ELSPBP1,48025153,47994651,19
CABP5,48044053,48029953,19
PLA2G4C,48110817,48047843,19
PLA2G4C-AS1,48064945,48061371,19
LIG1,48170603,48115445,19
AC011466.3,48127706,48118432,19
AC011466.2,48147413,48145908,19
ZSWIM9,48197620,48170692,19
CARD8,48255946,48180770,19
AC011466.4,48199720,48198107,19
AC011466.1,48213154,48204083,19
CARD8-AS1,48258199,48255675,19
ZNF114-AS1,48271283,48262900,19
ZNF114,48287608,48270102,19
CCDC114,48321894,48296457,19
EMP3,48330553,48321509,19
TMEM143,48364237,48332356,19
SYNGR4,48376376,48364395,19
KDELR1,48391553,48382570,19
GRIN2D,48444931,48394875,19
GRWD1,48457022,48445773,19
KCNJ14,48466980,48455509,19
AC008403.2,48469693,48465593,19
AC008403.1,48472431,48465837,19
CYTH2,48482314,48469032,19
LMTK3,48513935,48485271,19
AC008403.3,48513660,48513207,19
SULT2B1,48599425,48552075,19
FAM83E,48614854,48600810,19
SPACA4,48607714,48606743,19
RPL18,48619536,48615328,19
AC022154.1,48624132,48619272,19
SPHK2,48630717,48619291,19
DBP,48637438,48630030,19
CA11,48646312,48637942,19
SEC1P,48682245,48638071,19
NTN5,48673081,48661407,19
FUT2,48705950,48695971,19
MAMSTR,48719721,48712742,19
RASIP1,48740721,48720587,19
IZUMO1,48746909,48740852,19
FUT1,48755390,48748011,19
FGF21,48758333,48755559,19
RNU6-317P,48793258,48793152,19
BCAT2,48811029,48795062,19
HSD17B14,48836678,48813017,19
PLEKHA4,48868632,48837097,19
PPP1R15A,48876057,48872392,19
TULP2,48898733,48880965,19
NUCB1,48923372,48900050,19
NUCB1-AS1,48918891,48910930,19
AC026803.1,48926444,48926171,19
DHDH,48944969,48933682,19
BAX,48961798,48954815,19
AC026803.2,48965158,48963975,19
FTL,48966878,48965301,19
GYS1,48993310,48968125,19
RUVBL2,49015995,48993448,19
MIR6798,49009972,49009906,19
LHB,49017091,49015980,19
AC008687.4,49020523,49017496,19
CGB3,49024333,49022869,19
AC008687.1,49036895,49022953,19
NTF6A,49026020,49025461,19
NTF6G,49030341,49029726,19
CGB2,49033238,49031912,19
CGB1,49036895,49035610,19
NTF6B,49039038,49038479,19
AC008687.5,49042731,49042174,19
CGB5,49045311,49043884,19
CGB8,49049106,49047638,19
AC008687.6,49050846,49050217,19
CGB7,49058860,49054275,19
AC008687.8,49065076,49055793,19
AC008687.7,49058761,49056088,19
AC008687.2,49061132,49060613,19
NTF4,49065054,49061066,19
AC008687.3,49064856,49064259,19
KCNA7,49072941,49067418,19
RN7SL708P,49081630,49081332,19
SNRNP70,49108605,49085419,19
LIN7B,49118460,49114324,19
C19orf73,49119140,49118397,19
PPFIA3,49151026,49119389,19
HRC,49155424,49151198,19
TRPM4,49211836,49157741,19
SLC6A21P,49256102,49255472,19
SUMO1P4,49275420,49275119,19
SLC6A16,49325225,49289638,19
MIR4324,49308868,49308797,19
AC011450.1,49340303,49331617,19
CD37,49343335,49335171,19
TEAD2,49362457,49340595,19
AC010524.1,49357769,49356152,19
DKKL1,49375116,49361783,19
AC010643.1,49388081,49368705,19
CCDC155,49417994,49388218,19
PTH2,49423441,49422414,19
GFY,49428818,49423749,19
SLC17A7,49442360,49429401,19
PIH1D1,49453497,49446298,19
ALDH16A1,49471048,49453169,19
AC010619.1,49486231,49462752,19
FLT3LG,49486231,49474207,19
AC010619.2,49487637,49474586,19
RPL13A,49492308,49487554,19
SNORD32A,49490048,49489965,19
SNORD33,49490699,49490615,19
SNORD34,49490974,49490904,19
SNORD35A,49491260,49491175,19
RPS11,49499689,49496365,19
SNORD35B,49497806,49497720,19
MIR150,49500868,49500785,19
COX6CP7,49502639,49502432,19
FCGRT,49526333,49506816,19
RCN3,49546962,49527618,19
NOSIP,49590262,49555711,19
RF00019,49566772,49566672,19
PRRG2,49591015,49580646,19
PRR12,49626439,49591643,19
AC011495.2,49626439,49625994,19
RRAS,49640201,49635292,19
SCAF1,49658642,49642125,19
IRF3,49665875,49659569,19
BCL2L12,49673916,49665142,19
PRMT1,49689029,49675786,19
MIR5088,49682195,49682117,19
ADM5,49690575,49688664,19
AC011495.3,49690573,49688853,19
CPT1C,49713731,49690898,19
AC011495.1,49720081,49719498,19
TSKS,49763330,49739753,19
RNU6-841P,49764630,49764524,19
AP2A1,49807113,49766968,19
MIR6799,49791934,49791866,19
FUZ,49817376,49806869,19
AC006942.1,49809738,49808933,19
MED25,49840383,49818279,19
MIR6800,49832099,49832018,19
PTOV1-AS1,49851676,49838639,19
PTOV1,49860744,49850735,19
AC018766.1,49854967,49852887,19
MIR4749,49854651,49854591,19
PTOV1-AS2,49859289,49856970,19
PNKP,49878351,49859882,19
AKT1S1,49878459,49869033,19
TBC1D17,49888749,49877425,19
MIR4750,49888230,49888175,19
IL4I1,49929539,49889654,19
NUP62,49929763,49906825,19
AC011452.1,49958391,49909501,19
ATF5,49933935,49928702,19
MIR4751,49933137,49933064,19
SIGLEC11,49961172,49948985,19
RF00012,49949527,49949316,19
SIGLEC16,49975814,49969673,19
VRK3,50025946,49976467,19
RF00017,50019320,50019019,19
ZNF473,50053414,50025714,19
AC010624.3,50051062,50043196,19
AC010624.1,50066793,50050589,19
AC010624.4,50060232,50058882,19
AC010624.2,50075902,50075123,19
IZUMO2,50163195,50152548,19
MYH14,50310544,50188186,19
RF00017,50258722,50258443,19
AC008655.1,50310539,50310022,19
KCNC3,50333515,50311937,19
NR1H2,50382982,50329653,19
NAPSB,50344767,50333796,19
NAPSA,50365830,50358477,19
AC008655.2,50369331,50365880,19
POLD1,50418016,50384204,19
AC020909.1,50428409,50415799,19
SPIB,50431313,50418938,19
MYBPC2,50466321,50432903,19
FAM71E1,50476753,50466785,19
EMC10,50490870,50476400,19
AC020909.3,50483351,50480119,19
AC020909.2,50487638,50486810,19
JOSD2,50511353,50505998,19
ASPDH,50514690,50511600,19
LRRC4B,50568045,50516892,19
AC008743.1,50557969,50555370,19
SYT3,50639827,50621307,19
C19orf81,50659310,50649445,19
SHANK1,50719450,50661827,19
CLEC11A,50725718,50723329,19
GPR32P1,50759192,50758382,19
GPR32,50771732,50770464,19
AC010325.1,50793142,50776141,19
ACP4,50795224,50790415,19
AC010325.2,50793584,50792685,19
C19orf48,50804929,50797704,19
SNORD88B,50799122,50799032,19
SNORD88A,50799532,50799442,19
SNORD88C,50802418,50802328,19
AC010325.3,50812707,50808145,19
LINC01869,50818880,50808874,19
KLK1,50823787,50819148,19
KLK15,50837213,50825289,19
AC011523.1,50851089,50830530,19
KLK3,50860764,50854915,19
KLK2,50880567,50861568,19
KLKP1,50896398,50882096,19
KLK4,50910738,50906352,19
PPIAP59,50927571,50927079,19
KLK5,50953093,50943303,19
AC011483.2,50963649,50950185,19
KLK6,50969673,50958631,19
AC011483.3,50962781,50962197,19
AC011483.1,51012129,50968210,19
KLK7,50984099,50976482,19
KLK8,51002711,50996007,19
AC011473.4,51009581,50996018,19
KLK9,51009634,51003111,19
KLK10,51020175,51012739,19
AC011473.2,51014734,51014374,19
KLK11,51028039,51022216,19
KLK12,51035230,51029092,19
AC011473.3,51034335,51030076,19
AC011473.1,51052077,51043806,19
KLK13,51065114,51056206,19
KLK14,51084245,51077495,19
CTU1,51108370,51097606,19
SIGLEC18P,51122965,51119987,19
SIGLEC9,51136651,51124908,19
AC063977.2,51138634,51137970,19
SIGLEC7,51153526,51142299,19
AC063977.1,51144196,51143826,19
AC063977.6,51181966,51152923,19
AC063977.7,51155624,51155288,19
SIGLEC17P,51173524,51167328,19
SIGLEC20P,51190809,51184905,19
AC063977.4,51195540,51194118,19
SIGLEC21P,51201449,51198855,19
MIR8074,51207009,51206929,19
SIGLEC22P,51212088,51211080,19
CD33,51243860,51225064,19
SIGLECL1,51269330,51246348,19
AC063977.3,51271179,51251231,19
LINC01872,51281234,51271266,19
AC063977.5,51283022,51280862,19
IGLON5,51330354,51311848,19
VSIG10L,51342124,51331536,19
AC008750.3,51344117,51340695,19
AC008750.4,51353293,51345169,19
ETFB,51366418,51345169,19
AC008750.8,51368099,51350373,19
AC008750.5,51365544,51361712,19
CLDND2,51369003,51367098,19
NKG7,51372715,51371606,19
LIM2,51387960,51379909,19
C19orf84,51390574,51388289,19
AC008750.7,51403650,51394488,19
NIFKP6,51403526,51396755,19
SIGLEC10,51417803,51410021,19
AC008750.1,51414965,51414298,19
AC008750.2,51417425,51415724,19
AC008750.6,51426668,51426347,19
AC020914.5,51442650,51442379,19
SIGLEC8,51458456,51450847,19
AC020914.3,51468636,51468360,19
CEACAM18,51490952,51478622,19
SIGLEC12,51501789,51491357,19
AC020914.2,51505362,51505059,19
SIGLEC27P,51509311,51508573,19
SIGLEC6,51531856,51519525,19
AC020914.1,51520260,51519731,19
AC020914.4,51560590,51560122,19
SIGLEC29P,51564910,51563797,19
ZNF175,51592508,51571298,19
AC018755.3,51606150,51594561,19
AC018755.1,51600470,51599289,19
SIGLEC5,51645545,51611927,19
AC018755.2,51646889,51612091,19
RPL9P33,51621701,51621136,19
AC018755.4,51639931,51639478,19
SIGLEC14,51646801,51642553,19
RPL7P51,51649610,51648862,19
SPACA6P-AS,51693456,51685363,19
SPACA6,51712387,51689128,19
MIR99B,51692681,51692612,19
MIRLET7E,51692864,51692786,19
MIR125A,51693339,51693254,19
HAS1,51723994,51713112,19
FPR1,51804110,51745172,19
FPR2,51770526,51752026,19
FPR3,51826189,51795163,19
ZNF577,51890950,51804816,19
AC006272.1,51840945,51839771,19
AC006272.2,51843315,51842878,19
AC074141.1,51863236,51860242,19
ZNF649-AS1,51900463,51888025,19
ZNF649,51905040,51889224,19
AC011460.1,51917703,51914675,19
ZNF613,51948759,51927147,19
ZNF350-AS1,51981367,51949134,19
ZNF350,51986856,51964343,19
ZNF615,52008230,51991332,19
ZNF614,52030240,52012765,19
ZNF432,52095738,52031379,19
AC011468.5,52049754,52049007,19
AC011468.1,52063703,52058490,19
ZNF841,52095765,52064466,19
AC011468.4,52110726,52110318,19
ZNF616,52139922,52113091,19
AC011468.2,52171533,52130548,19
AC011468.3,52144156,52142626,19
RPL37P23,52143336,52143043,19
ZNF836,52171643,52153864,19
AC010320.1,52177002,52171158,19
PPP2R1A,52229533,52190039,19
MIR6801,52222098,52222020,19
AC010320.2,52231294,52222225,19
AC010320.5,52242440,52241765,19
RF00019,52259187,52259076,19
ZNF766,52296046,52269571,19
MIR643,52281893,52281797,19
AC010320.3,52297920,52284780,19
ZNF480,52325922,52297177,19
AC010320.4,52345229,52300693,19
ZNF610,52367778,52336245,19
ZNF880,52385795,52369917,19
ZNF528-AS1,52397766,52388842,19
AC010332.1,52392755,52392659,19
ZNF528,52418412,52397849,19
DPPA5P1,52426202,52425863,19
ZNF534,52452315,52429187,19
ZNF578,52512154,52453576,19
AC010332.2,52475239,52473336,19
AC022150.3,52512342,52511282,19
ZNF808,52564464,52527652,19
ZNF701,52587174,52555457,19
RPL39P34,52564231,52564076,19
AC022150.1,52585561,52575883,19
ZNF137P,52597345,52588505,19
ZNF83,52690496,52594060,19
AC022150.2,52598887,52597699,19
AC022150.4,52653284,52650437,19
ZNF611,52735073,52702813,19
ZNF600,52786807,52749942,19
ZNF28,52857600,52797409,19
AC008813.1,52810708,52809824,19
ZNF468,52890375,52838008,19
AC010487.1,52864151,52861807,19
ZNF320,52897693,52863790,19
AC010487.4,52865429,52865369,19
AC010487.3,52962768,52880663,19
ZNF888,52923481,52904417,19
AC010487.2,52924075,52923382,19
ZNF321P,52942601,52927135,19
ZNF816-ZNF321P,52962823,52928475,19
ZNF816,52962911,52949379,19
AC010328.3,52981654,52956041,19
ZNF702P,53037898,52968251,19
AC010328.2,53005150,53004040,19
AC010328.1,53013180,53007512,19
ERVV-1,53016122,53013921,19
ERVV-2,53051076,53044738,19
ZNF160,53103436,53066606,19
ZNF415,53133077,53107879,19
ZNF347,53159075,53124072,19
ZNF665,53193386,53159213,19
AC092070.1,53163563,53162428,19
AC092070.2,53214522,53197111,19
NDUFV2P1,53224879,53223973,19
ZNF677,53254898,53235381,19
AC092070.3,53241913,53240675,19
VN1R2,53261837,53258292,19
VN1R4,53267723,53266676,19
AC092070.4,53270932,53267870,19
FAM90A27P,53284944,53281559,19
BIRC8,53291626,53289601,19
FAM90A28P,53308644,53299051,19
VN1R6P,53316043,53315137,19
ZNF845,53356906,53333746,19
ZNF525,53392217,53365693,19
AC125388.1,53386388,53386233,19
ZNF765,53430413,53389793,19
RPL39P36,53413345,53413190,19
AC022137.2,53426499,53426019,19
TPM3P9,53444670,53431984,19
ZNF761,53458261,53431993,19
ZNF813,53496255,53467735,19
TPM3P6,53480091,53479350,19
AC022137.1,53496037,53495887,19
AC011487.1,53512687,53503392,19
AC011487.4,53512616,53512092,19
